Ingredients,nutrition_api_id,alliumfree,almondfree,anticandida,autoimmune,beanfree,beeffree,chickenfree,citrusfree,coconutfree,cornfree,dairyfree,eggfree,elimination,fruitfree,glutenfree,grainfree,ketogenic,kosher,legumefree,lentilfree,lowfodmap,lowglycemic,lowhistamine,lowlectin,lowoxalate,lowsalicylate,lowsulfur,mediterranean,mushroomfree,nightshadefree,nutfree,oatfree,oilfree,onionfree,paleo,pescatarian,porkfree,ricefree,seafoodfree,soyfree,specificcarbohydrate,spicyfree,sugarfree,tomatofree,turkeyfree,unprocessed,vegan,vegetarian,wheatfree
Oats,6393,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,n,,,n,,,,,,n,,,,,,,,
Unsweetened Coconut Flakes,74710,,,,,,,,,n,,,,,,,,,,,,n,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Raw Honey,43419,,,n,,,,,,,,,,n,,,,n,,,,n,n,,,,n,,n,,,,,,,,,,,,,,,n,,,,n,,
Dried Unsweetened Cranberries,113868,,,n,,,,,,,,,,,n,,,n,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Popcorn Kernels,91145,,,n,n,,,,,,n,,,n,,,n,n,,,,n,,,n,n,n,n,n,,,,,,,n,,,,,,n,,,,,,,,
Almond Flour,120790,,n,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Coconut Flour,74738,,,,,,,,,n,,,,,,,,,,,,n,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Baking Soda,7529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitted Dates,4215,,,n,,,,,,,,,,n,n,,,n,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Raisins,654,,,n,,,,,,,,,,n,n,,,n,,,,n,n,n,n,,n,,,,,,,,,,,,,,,,,,,,,,,
Almond Butter,1077,,n,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Maple Syrup,2150,,,n,,,,,,,,,,n,,,,n,,,,,n,,,,,n,n,,,,,,,,,,,,,n,,n,,,,,,
All Natural Peanut Butter,4959,,,n,n,,,,,,,,,n,,,,,,n,,,,n,n,n,n,n,,,,n,,,,n,,,,,,,,,,,,,,
Banana,6433,,,n,,,,,,,,,,n,n,,,n,,,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon,236,,,,,,,,n,,,,,,n,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,
Avocado,4194,,,,,,,,,,,,,,,,,,,,,n,,n,,,n,,,,,,,,,,,,,,,,,,,,,,,
Lime,645,,,,,,,,n,,,,,,n,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,4177,,,n,,,,,,,,,,,n,,,n,,,,n,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Grapes,7171,,,n,,,,,,,,,,,n,,,n,,,,n,n,n,n,,n,,,,,,,,,,,,,,,,,,,,,,,
Blueberries,4200,,,n,,,,,,,,,,,n,,,n,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Strawberries,251,,,n,,,,,,,,,,,n,,,n,,,,,,n,,,n,,,,,,,,,,,,,,,,,,,,,,,
Blackberries,6435,,,n,,,,,,,,,,,n,,,n,,,,n,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Pineapple,1613,,,n,,,,,,,,,,,n,,,n,,,,,n,n,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Cantaloupe,1581,,,n,,,,,,,,,,,n,,,n,,,,n,n,,n,,n,,,,,,,,,,,,,,,,,,,,,,,
Seedless Watermelon,254,,,n,,,,,,,,,,,n,,,n,,,,n,n,,n,,n,,,,,,,,,,,,,,,,,,,,,,,
Navel Orange,2406,,,n,,,,,n,,,,,,n,,,n,,,,,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Kiwi,642,,,n,,,,,,,,,,,n,,,n,,,,,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Grapefruit,5522,,,n,,,,,n,,,,,,n,,,n,,,,n,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,,
Peach,2417,,,n,,,,,,,,,,,n,,,n,,,,n,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Raspberries,244,,,n,,,,,,,,,,,n,,,n,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Garlic,1719,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Kale Leaves,910,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Radishes,1765,,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Cherry Tomatoes,2946,,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,,,,,n,,,,,,,,,,,,,,n,,,,,
Sweet Potato,971,,,n,,,,,,,,,,,,,,n,,,,,,,,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Leeks,1735,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Baby Spinach,951,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Thyme,5959,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Broccoli,2868,,,,,,,,,,,,,,,,,,,,,,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Yellow Onion,271893,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Basil Leaves,4721,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Arugula,1876,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Tomato,2991,,,,n,,,,,,,,,n,,,,,,,,n,,n,n,n,,,,,n,,,,,,,,,,,,,,n,,,,,
Red Onion,2489,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Beet,1634,,,n,,,,,,,,,,,,,,n,,,,n,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Cucumber,898,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,,
Celery,2477,,,,,,,,,,,,,,,,,,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Carrot,2882,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Yellow Bell Pepper,1872,,,,n,,,,,,,,,n,,,,,,,,n,,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Sweet Onion,2497,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Ginger,1720,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Green Onion,2495,n,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Red Bell Pepper,2597,,,,n,,,,,,,,,n,,,,,,,,n,,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Thyme Sprigs,5959,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Mixed Greens,207777,,,,,,,,,,,,,,,,,,,,,,,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Portobello Mushroom,1732,,,,,,,,,,,,,,,,,,,,,n,,n,,,n,,,n,,,,,,,,,,,,,,,,,,,,
Spaghetti Squash,961,,,,,,,,,,,,,,,,,n,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,,
Green Bell Pepper,2916,,,,n,,,,,,,,,n,,,,,,,,n,,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Mushrooms,1740,,,,,,,,,,,,,,,,,,,,,n,,n,,,n,,,n,,,,,,,,,,,,,,,,,,,,
Cauliflower,2475,,,,,,,,,,,,,,,,,,,,,n,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
Zucchini,1780,,,,,,,,,,,,,,,,,,,,,n,,,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Brussels Sprouts,2872,,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Asparagus,878,,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Rhubarb,247,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Parsley,2905,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
Mint Leaves,5963,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Jalapeno Pepper,1065,,,,n,,,,,,,,,n,,,,,,,,,,,,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Eggplant,1717,,,,n,,,,,,,,,n,,,,,,,,,,n,,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Green Beans,2450,,,,n,,,,,,,,,,,,,,,n,,,,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,
Collard Greens,2895,,,,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,,,,,,,,,,,,,,
Chicken Breast,3566,,,,,,,n,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,,,n,n,
Feta Cheese,5909,,,,n,,,,,,,n,,n,,,,,n,,,,,n,n,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Bread,88,,,n,n,,,,,,,,,n,,n,n,n,,,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,n,,,n
Extra Lean Ground Turkey,5339,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,n,,n,n,
Salmon Fillet,6180,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,n,n,
Extra Lean Ground Chicken,3605,,,,,,,n,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,n,,,,,,,,,,,n,n,
Shrimp,7668,,,,,,,,,,,,,,,,,,n,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Tilapia Fillet,7665,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Cinnamon,3809,,,,,,,,,,,,,,,,,,,,,,,n,,,n,,,,,,,,,,,,,,,,,,,,,,,
Sea Salt & Black Pepper,3420,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Almonds,3056,,n,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Cumin,3412,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg,3815,,,,n,,,,,,,,,,,,,,,,,,,n,,,n,,,,,,,,,,,,,,,,,,,,,,,
Cayenne Pepper,3421,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Pecans,2671,,,,n,,,,,,,,,,,,,,,,,,,n,,n,,n,,,,n,,,,,,,,,,,,,,,,,,
Sunflower Seeds,3052,,,,n,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,n,,,,,,,,
Cashews,3060,,,n,n,,,,,,,,,,,,,,,,,n,,n,n,n,,n,,,,n,,,,,,,,,,,,,,,,,,
Sea Salt,42899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Pepper,3420,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Bay Leaf,,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Red Pepper Flakes,3421,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Pine Nuts,3080,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Chili Powder,3808,,,,n,,,,,,,,,n,,,,,,,,,,n,n,n,n,,,,n,,,,,,,,,,,,n,,,,,,,
Paprika,3818,,,,n,,,,,,,,,n,,,,,,,,,,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,,
Slivered Almonds,92187,,n,,n,,,,,,,,,,,,,,,,,n,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Hemp Seeds,2637,,,,n,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Ground Flax Seed,74746,,,,n,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Curry Powder,3413,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,n,,,,,,,
Chia Seeds,323789,,,,n,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,n,,,,,,,,
Sesame Seeds,2639,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,n,,,,,,,,,,,,,,n,,,,,,,,
Oregano,3817,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,
Turmeric,4720,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Walnuts,26496,,,,n,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Pumpkin Seeds,3045,,,,n,,,,,,,,,,,,,,,,,,,n,n,n,n,,,,,,,,,,,,,,,n,,,,,,,,
Clean Trail Mix,50,,,n,n,,,,,,,,,n,,,,n,,,,n,n,n,n,n,n,n,,,,n,,,,,,,,,,n,,,,,,,,
Extra Virgin Olive Oil,3902,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,n,,,,,,,,,,,,,,,,
Dijon Mustard,39046,,,,n,,,,,,,,,,,,,,,,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Coconut Oil,3901,,,,,,,,,n,,,,,,,,,,,,,,,,,n,n,n,,,,,n,,,,,,,,,,,,,,,,
Yellow Mustard,39043,,,,n,,,,,,,,,,,,,,,,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Tamari,6767,,,,n,n,,,,,,,,n,,,,,,n,,,,n,n,n,,n,,,,,,,,n,,,,,n,n,,,,,n,,,
Apple Cider Vinegar,5958,,,,,,,,,,,,,,n,,,,,,,,,n,,,n,n,,,,,,,,,,,,,,,,,,,,,,
Balsamic Vinegar,4730,,,n,,,,,,,,,,,,,,,,,,n,,n,,,n,n,,,,,,,,,,,,,,n,,,,,,,,
Tahini,2678,,,,n,,,,,,,,,,,,,,,,,,,,,n,n,n,,,,,,,,,,,,,,n,,,,,,,,
Green Olives,1583,,,,,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,,,,,,,,,,,,,,,,,,,
Egg,3776,,,,n,,,,,,,,n,n,,,,,,,,,,n,,,,n,,,,,,,,,,,,,,,,,,,,n,,
Unsweetened Almond Milk,87203,,n,,n,,,,,,,,,,,,,,,,,,,n,,n,n,n,,,,n,,,,,,,,,,,,,,,,,,
Brown Rice Tortilla,124673,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Frozen Mango,2399,,,n,,,,,,,,,,,n,,,n,,,,n,n,,n,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Banana,6433,,,n,,,,,,,,,,n,n,,,n,,,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Strawberries,662,,,n,,,,,,,,,,,n,,,n,,,,,,n,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Frozen Peas,2506,,,n,n,,,,,,,,,,,,,n,,n,,,,,n,,,n,,,,,,,,n,,,,,,,,,,,,,,
Vegetable Broth,4072,n,,,,,,,,,,,,,,,,,,,,,,n,,n,,,,,,,,,n,,,,,,,,,,n,,,,,
Canned Coconut Milk,276520,,,,,,,,,n,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
Brown Rice Spaghetti,45473,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Tuna,6198,,,,,,,,,,,,,,,,,,,,,,,n,,,,n,,,,,,,,,,,,n,,,,,,,,n,n,
Quinoa,1363,,,,n,,,,,,,,,,,,n,n,,,,,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Black Beans,6224,,,,n,n,,,,,,,,,,,,n,,n,,n,,,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Brown Rice Penne,57004,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Chickpeas,6246,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Green Lentils,4910,,,,n,,,,,,,,,,,,,n,,n,n,n,,n,n,n,,n,,,,,,,,n,,,,,,,,,,,,,,
Popcorn,2736,,,n,n,,,,,,n,,,n,,,n,n,,,,,,,n,n,n,n,n,,,,,,,n,,,,,,n,,,,,,,,
Salsa,7013,n,,,n,,,,n,,,,,n,,,,,,,,n,,n,n,n,n,,,,n,,,,n,,,,,,,n,n,,n,,,,,
White Navy Beans,6235,,,,n,n,,,,,,,,,,,,n,,n,,n,,n,n,n,,n,,,,,,,,n,,,,,,n,,,,,,,,
Brown Rice Fusilli,57004,,,,n,,,,,,,,,,,,n,n,,,,,n,,n,n,,n,,,,,,,,n,,,n,,,n,,,,,n,,,
Protein Powder,5669,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,n,,,,,,,,,,,,,n,,,,,n,,,
Nori Sheets,66967,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,n,,,,,,,,
Barbecue Skewers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portobello Mushroom Caps,143507,,,,,,,,,,,,,,,,,,,,,n,,n,,,n,,,n,,,,,,,,,,,,,,,,,,,,
Goat Cheese,40698,,,n,n,,,,,,,n,,n,,,,,n,,,,,n,,,,n,,,,,,,,n,,,,,,n,,,,,n,n,,
Cocoa Powder,2082,,,,n,,,,,,,,,n,,,,,,,,,,n,,n,,n,,,,,,,,,,,,,,n,,,,,n,,,
Pear,1607,,,n,,,,,,,,,,,n,,,n,,,,n,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Clementines,684,,,n,,,,,n,,,,,,n,,,n,,,,,,n,n,n,n,,,,,,,,,,,,,,,,,,,,,,,
Rosemary,5962,,,,,,,,,,,,,,,,,,,,,,,,,n,n,,,,,,,,,,,,,,,,,,,,,,,
White Onion,2489,n,,,,,,,,,,,,,,,,,,,,n,,,,n,,n,,,,,,,n,,,,,,,,,,,,,,,
Snap Peas,2450,,,,n,,,,,,,,,,,,,n,,n,,,,,n,,,n,,,,,,,,,,,,,,,,,,,,,,
Purple Cabbage,2466,,,,,,,,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,
